Acropolis	Akropolis?
April	april
August	ogos
February	februari
Islam	Islam
July	julai
June	jun
Malacca	Melaka
March	mac
November	november
Samosata	Samosata
Wheel of Fortune	Roda Impian
animal	haiwan
autism	autisme
bullshit	mengarut
ceramic	seramik
dobra	dobra
eclipse	gerhana
eco-	eko-
ecology	ekologi
economy	ekonomi
fruit	buah
fuck	puki mak
fuck you	puki mak kau
hydrogen	hidrogen
laugh	ketawa
light	cahaya
morna	morna
motherfucker	pukimak
nucleus	nuklues
polar bear	beruang kutub
taxi	teksi
turtle	penyu
